0:0.000010	1:0.000010	2:0.001075	3:0.000010	4:0.011133	5:0.000651	6:0.000010	7:0.002015	8:0.000010	9:0.000010	10:0.000010	11:0.000010	12:0.000010	13:0.000010	14:0.000319	15:0.000034	16:0.000010	17:0.000010	18:0.000010	19:0.000010	20:0.000010	21:0.000010	22:0.000010	23:0.000010	24:0.000010	25:0.000010	26:0.000010	27:0.000156	28:0.000010	29:0.000010	30:0.000010	31:0.000010	32:0.000010	33:0.008240	34:0.000010	35:0.000010	36:0.000010	37:0.001360	38:0.001129	39:0.000031	40:0.000010	41:0.000510	42:0.000010	43:0.007363	44:0.000010	45:0.000010	46:0.006553	47:0.000010	48:0.000010	49:0.000010	
0:0.000010	1:0.000010	2:0.003317	3:0.000010	4:0.000010	5:0.002467	6:0.000148	7:0.000010	8:0.000010	9:0.000010	10:0.000010	11:0.004859	12:0.000472	13:0.000010	14:0.000022	15:0.000172	16:0.000010	17:0.000010	18:0.011214	19:0.000010	20:0.000010	21:0.000010	22:0.005933	23:0.000860	24:0.000010	25:0.000010	26:0.000010	27:0.000010	28:0.000010	29:0.006726	30:0.000010	31:0.000010	32:0.000010	33:0.003286	34:0.000010	35:0.000010	36:0.000010	37:0.000010	38:0.000239	39:0.000010	40:0.000031	41:0.000010	42:0.000010	43:0.000836	44:0.000010	45:0.003799	46:0.004950	47:0.000010	48:0.000010	49:0.000010	
0:0.000010	1:0.000010	2:0.000010	3:0.000010	4:0.000010	5:0.004112	6:0.000010	7:0.000010	8:0.000010	9:0.000010	10:0.000010	11:0.000010	12:0.000010	13:0.000010	14:0.000010	15:0.000010	16:0.000010	17:0.000010	18:0.000010	19:0.000010	20:0.000010	21:0.000010	22:0.000010	23:0.000010	24:0.000010	25:0.000010	26:0.000010	27:0.000010	28:0.000010	29:0.008657	30:0.000010	31:0.000010	32:0.000010	33:0.000010	34:0.000010	35:0.000010	36:0.000010	37:0.000010	38:0.007083	39:0.000010	40:0.000010	41:0.000010	42:0.000010	43:0.000010	44:0.000010	45:0.000010	46:0.000010	47:0.003494	48:0.000010	49:0.000010	
0:0.000010	1:0.000010	2:0.000071	3:0.000938	4:0.000483	5:0.000012	6:0.000010	7:0.000010	8:0.000554	9:0.006949	10:0.000010	11:0.001179	12:0.000970	13:0.000010	14:0.000010	15:0.000266	16:0.000010	17:0.000010	18:0.000540	19:0.009193	20:0.000032	21:0.000010	22:0.005646	23:0.000405	24:0.007809	25:0.002382	26:0.004763	27:0.003276	28:0.000010	29:0.000010	30:0.000010	31:0.000017	32:0.004128	33:0.008032	34:0.000010	35:0.000010	36:0.000010	37:0.002357	38:0.000010	39:0.000359	40:0.000010	41:0.000010	42:0.000016	43:0.000010	44:0.000010	45:0.009984	46:0.000010	47:0.000010	48:0.000037	49:0.000010	
0:0.002627	1:0.000010	2:0.001608	3:0.004205	4:0.002692	5:0.000014	6:0.000010	7:0.000010	8:0.000010	9:0.000010	10:0.000010	11:0.000010	12:0.000010	13:0.000010	14:0.000010	15:0.002125	16:0.000491	17:0.000010	18:0.002205	19:0.005667	20:0.000010	21:0.004127	22:0.000010	23:0.000010	24:0.000010	25:0.000281	26:0.000057	27:0.000010	28:0.000010	29:0.000010	30:0.000010	31:0.001486	32:0.000010	33:0.000010	34:0.000010	35:0.000010	36:0.000010	37:0.004612	38:0.000279	39:0.002203	40:0.000010	41:0.000010	42:0.000010	43:0.000010	44:0.000010	45:0.000010	46:0.000010	47:0.000010	48:0.000010	49:0.000010	
0:0.000010	1:0.003468	2:0.000010	3:0.000010	4:0.000010	5:0.001207	6:0.000010	7:0.000010	8:0.000010	9:0.000010	10:0.000010	11:0.000010	12:0.000010	13:0.000010	14:0.000010	15:0.000010	16:0.000010	17:0.000010	18:0.000010	19:0.000010	20:0.000010	21:0.000744	22:0.000010	23:0.000010	24:0.000010	25:0.000010	26:0.000010	27:0.000010	28:0.000010	29:0.000010	30:0.000010	31:0.004304	32:0.000010	33:0.000010	34:0.000010	35:0.000010	36:0.000010	37:0.000010	38:0.000010	39:0.002267	40:0.000585	41:0.000010	42:0.000010	43:0.000010	44:0.000010	45:0.000010	46:0.000010	47:0.000010	48:0.000010	49:0.000010	
0:0.000010	1:0.000716	2:0.000010	3:0.000010	4:0.000115	5:0.000098	6:0.011481	7:0.000010	8:0.000010	9:0.000010	10:0.000010	11:0.000621	12:0.002225	13:0.000101	14:0.000010	15:0.000844	16:0.000010	17:0.000010	18:0.000010	19:0.004425	20:0.000010	21:0.000010	22:0.000010	23:0.000010	24:0.000010	25:0.002535	26:0.000010	27:0.000010	28:0.000010	29:0.000010	30:0.000010	31:0.009071	32:0.000010	33:0.000010	34:0.000010	35:0.000010	36:0.000010	37:0.000010	38:0.000010	39:0.001363	40:0.000010	41:0.000010	42:0.000010	43:0.000010	44:0.000010	45:0.000010	46:0.000010	47:0.000010	48:0.000010	49:0.000010	
0:0.006237	1:0.000493	2:0.000312	3:0.000010	4:0.000371	5:0.000010	6:0.001692	7:0.000010	8:0.000010	9:0.000010	10:0.000010	11:0.000199	12:0.000932	13:0.000010	14:0.000721	15:0.000010	16:0.002014	17:0.000010	18:0.000023	19:0.000806	20:0.000010	21:0.000010	22:0.000019	23:0.009021	24:0.000077	25:0.004318	26:0.000010	27:0.000010	28:0.000010	29:0.000010	30:0.000019	31:0.000010	32:0.007262	33:0.000010	34:0.005818	35:0.000257	36:0.000010	37:0.000030	38:0.000010	39:0.000010	40:0.000886	41:0.000010	42:0.000010	43:0.000010	44:0.000010	45:0.000010	46:0.000749	47:0.000010	48:0.002162	49:0.000010	
0:0.000448	1:0.000010	2:0.000010	3:0.000010	4:0.000010	5:0.000010	6:0.001168	7:0.000010	8:0.000010	9:0.000010	10:0.000010	11:0.000010	12:0.000010	13:0.003385	14:0.000010	15:0.000010	16:0.000010	17:0.003265	18:0.001926	19:0.000015	20:0.000010	21:0.000010	22:0.000010	23:0.000010	24:0.000409	25:0.000010	26:0.000015	27:0.000010	28:0.000010	29:0.000010	30:0.002726	31:0.000010	32:0.000423	33:0.000010	34:0.000010	35:0.000010	36:0.000010	37:0.000010	38:0.000010	39:0.001730	40:0.001223	41:0.000010	42:0.000010	43:0.000010	44:0.000010	45:0.003102	46:0.000010	47:0.000010	48:0.000010	49:0.000010	
0:0.000010	1:0.000010	2:0.000010	3:0.000010	4:0.000010	5:0.000010	6:0.003738	7:0.000010	8:0.021021	9:0.000010	10:0.000010	11:0.000010	12:0.000010	13:0.000010	14:0.000010	15:0.000010	16:0.000509	17:0.000010	18:0.000010	19:0.000010	20:0.000010	21:0.000010	22:0.000010	23:0.000010	24:0.000010	25:0.000010	26:0.000010	27:0.000010	28:0.000010	29:0.000010	30:0.000010	31:0.000010	32:0.000010	33:0.000010	34:0.000010	35:0.000010	36:0.000010	37:0.000124	38:0.000010	39:0.000010	40:0.000010	41:0.000010	42:0.000010	43:0.000010	44:0.000010	45:0.000010	46:0.000010	47:0.000010	48:0.000010	49:0.000010	
0:0.000010	1:0.000010	2:0.000010	3:0.000010	4:0.000010	5:0.000010	6:0.004735	7:0.000010	8:0.016966	9:0.000010	10:0.000010	11:0.000010	12:0.000010	13:0.000010	14:0.000010	15:0.000010	16:0.000010	17:0.000010	18:0.000010	19:0.000010	20:0.000010	21:0.000010	22:0.000010	23:0.000010	24:0.000010	25:0.000010	26:0.000010	27:0.000010	28:0.000010	29:0.000010	30:0.000010	31:0.000010	32:0.000010	33:0.000010	34:0.000010	35:0.000010	36:0.000010	37:0.000010	38:0.000010	39:0.000010	40:0.000010	41:0.000010	42:0.000010	43:0.000010	44:0.000010	45:0.000010	46:0.000010	47:0.000010	48:0.000010	49:0.000010	
